1,google.com,Computers Electronics and Technology > Search Engines,=,,,
2,youtube.com,Arts and Entertainment > TV Movies and Streaming,=,,,
3,google.de,Computers Electronics and Technology > Search Engines,=,,,
4,facebook.com,Computers Electronics and Technology > Social Networks and Online Communities,=,,,
5,amazon.de,E commerce and Shopping > Marketplace,=,,,
6,wikipedia.org,Reference Materials > Dictionaries and Encyclopedias,=,,,
7,ebay.de,E commerce and Shopping > Marketplace,=,,,
8,bild.de,News and Media,=,,,
9,t-online.de,News and Media,=,,,
10,ebay-kleinanzeigen.de,E commerce and Shopping > E commerce and Shopping,=,,,
11,instagram.com,Computers Electronics and Technology > Social Networks and Online Communities,=,,,
12,web.de,Computers Electronics and Technology > Email,=,,,
13,twitter.com,Computers Electronics and Technology > Social Networks and Online Communities,=,,,
14,gmx.net,Computers Electronics and Technology > Email,=,,,
15,spiegel.de,News and Media,=,,,
16,xhamster.com,Adult,=,,,
17,netflix.com,Arts and Entertainment > TV Movies and Streaming,=,,,
18,dhl.de,Business and Consumer Services > Shipping and Logistics,+1,,,
19,paypal.com,Finance > Banking Credit and Lending,=,,,
20,twitch.tv,Games > Video Games Consoles and Accessories,-1,,,
21,n-tv.de,News and Media,-1,,,
22,focus.de,News and Media,+2,,,
23,google.com.br,Computers Electronics and Technology > Search Engines,=,,,
24,tagesschau.de,News and Media,=,,,
25,pornhub.com,Adult,=,,,
26,welt.de,News and Media,=,,,
27,whatsapp.com,Computers Electronics and Technology > Social Networks and Online Communities,=,,,
28,samsung.com,Computers Electronics and Technology > Consumer Electronics,+2,,,
29,gls-pakete.de,Business and Consumer Services > Shipping and Logistics,=,,,
30,yahoo.com,News and Media,+3,,,
31,otto.de,E commerce and Shopping > Marketplace,=,,,
32,duckduckgo.com,Computers Electronics and Technology > Search Engines,=,,,
33,reddit.com,Computers Electronics and Technology > Social Networks and Online Communities,=,,,
34,live.com,Computers Electronics and Technology > Email,-1,,,
35,chip.de,Computers Electronics and Technology > Computers Electronics and Technology,+1,,,
36,wetter.com,Science and Education > Weather,-6,,,
37,zoom.us,Computers Electronics and Technology > Computers Electronics and Technology,-5,,,
38,idealo.de,E commerce and Shopping > Price Comparison,+1,,,
39,zeit.de,News and Media,-2,,,
40,stripchat.com,Adult,+5,,,
41,immobilienscout24.de,Business and Consumer Services > Real Estate,=,,,
42,pinterest.de,Computers Electronics and Technology > Social Networks and Online Communities,=,,,
43,zdf.de,Arts and Entertainment > TV Movies and Streaming,+3,,,
44,bing.com,Computers Electronics and Technology > Search Engines,-1,,,
45,wetteronline.de,Science and Education > Weather,-7,,,
46,xnxx.com,Adult,=,,,
47,faz.net,News and Media,+6,,,
48,ndr.de,Arts and Entertainment > TV Movies and Streaming,+1,,,
49,mobile.de,Vehicles > Vehicles,=,,,
50,tiktok.com,Computers Electronics and Technology > Social Networks and Online Communities,-3,,,
